YEAR	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC	D-J-F	M-A-M	J-J-A	S-O-N	metANN
1974	4.14	5.14	7.94	9.54	12.94	15.94	18.94	19.54	14.74	6.24	5.94	4.42	3.61	10.14	18.14	8.97	10.21
1975	4.22	3.02	5.12	9.52	13.42	15.92	19.62	19.02	16.42	8.82	6.62	2.00	3.89	9.35	18.19	10.62	10.51
1976	1.80	2.40	5.10	9.20	15.20	20.10	21.00	17.60	13.50	11.20	6.10	1.59	2.07	9.83	19.57	10.27	10.43
1977	2.29	6.09	8.09	8.69	12.79	16.19	18.89	17.39	14.09	11.59	6.09	3.27	3.32	9.86	17.49	10.59	10.32
1978	1.87	2.57	6.17	8.27	12.67	16.27	18.27	17.07	14.67	9.17	4.37	3.85	2.57	9.04	17.20	9.40	9.55
1979	-0.45	4.65	6.75	7.95	13.35	17.55	19.75	17.45	15.45	11.35	5.15	4.23	2.68	9.35	18.25	10.65	10.23
1980	1.23	4.83	5.73	7.83	11.93	15.23	16.83	19.13	15.63	9.33	4.43	0.42	3.43	8.50	17.06	9.80	9.70
1981	-0.08	0.22	8.52	11.12	13.12	17.12	17.92	19.12	15.82	10.62	5.02	999.90	0.19	10.92	18.05	10.49	9.91
1982	999.90	999.90	999.90	999.90	999.90	999.90	999.90	999.90	999.90	999.90	999.90	999.90	999.90	999.90	999.90	999.90	999.90
1983	999.90	999.90	999.90	999.90	999.90	999.90	999.90	999.90	16.48	10.98	5.78	2.77	999.90	999.90	999.90	11.08	999.90
1984	2.37	2.07	4.07	8.87	10.97	16.67	20.17	18.97	14.47	11.17	6.97	3.35	2.40	7.97	18.60	10.87	9.96
1985	-2.85	0.75	4.35	9.95	12.95	15.85	20.85	18.75	16.95	11.75	3.45	3.23	0.42	9.08	18.48	10.72	9.68
1986	2.03	-1.27	5.23	7.43	15.93	17.73	20.33	18.93	16.03	12.33	5.53	2.81	1.33	9.53	19.00	11.30	10.29
1987	-1.39	2.91	4.11	10.41	11.61	15.81	19.91	19.31	18.01	12.11	6.71	3.80	1.44	8.71	18.34	12.28	10.19
1988	4.80	3.20	6.00	10.60	14.90	17.40	19.80	20.00	15.50	12.10	5.20	3.38	3.93	10.50	19.07	10.93	11.11
1989	1.98	3.58	8.48	8.58	15.68	17.78	21.48	20.38	16.18	11.68	4.78	4.36	2.98	10.91	19.88	10.88	11.16
1990	2.06	7.26	8.16	8.86	16.26	17.06	20.46	20.76	15.76	12.56	6.16	1.75	4.56	11.09	19.43	11.49	11.64
1991	3.05	0.55	8.15	8.75	11.85	17.05	21.55	21.55	18.05	10.05	6.15	1.93	1.78	9.58	20.05	11.42	10.71
1992	0.73	3.33	7.13	10.13	16.03	16.93	20.53	22.23	15.83	9.73	7.73	3.01	2.00	11.10	19.90	11.10	11.02
1993	4.01	1.21	5.61	10.81	15.21	18.31	19.11	20.11	14.21	9.51	4.31	4.99	2.74	10.54	19.18	9.34	10.45
1994	3.79	4.29	10.19	8.49	15.19	18.39	23.09	21.39	15.19	11.39	9.09	5.18	4.36	11.29	20.96	11.89	12.12
1995	2.18	6.28	5.38	10.38	14.08	16.58	22.48	19.78	13.58	14.28	5.98	2.76	4.55	9.95	19.61	11.28	11.35
1996	3.16	1.86	4.86	10.16	14.16	18.86	19.06	18.46	12.76	10.76	5.96	2.64	2.59	9.73	18.79	9.83	10.24
1997	0.94	5.44	8.04	9.74	14.84	17.14	18.64	21.04	16.74	10.94	6.44	3.93	3.01	10.87	18.94	11.37	11.05
1998	3.53	4.33	7.13	9.53	16.13	18.63	21.33	20.43	15.03	11.43	3.73	1.81	3.93	10.93	20.13	10.06	11.26
1999	2.91	2.01	7.21	9.91	17.01	17.31	21.31	20.21	18.21	11.51	4.71	3.79	2.24	11.38	19.61	11.48	11.18
2000	1.69	5.19	7.19	10.99	16.79	20.09	18.79	20.79	16.79	12.29	7.59	5.57	3.56	11.66	19.89	12.22	11.83
2001	3.67	5.07	9.27	8.77	16.57	17.47	20.37	20.67	13.37	14.37	4.57	1.86	4.77	11.54	19.50	10.77	11.64
2002	1.66	6.56	8.06	10.76	13.66	20.76	20.16	18.86	15.36	11.86	8.06	5.84	3.36	10.83	19.93	11.76	11.47
2003	1.84	0.64	8.44	11.14	16.14	24.34	22.74	24.24	16.14	9.04	6.24	3.22	2.77	11.91	23.77	10.47	12.23
2004	2.92	3.62	5.72	10.82	14.02	19.02	20.22	20.32	17.02	13.82	6.12	3.11	3.25	10.19	19.85	12.32	11.40
2005	1.51	0.81	7.01	10.71	15.51	20.71	21.11	18.81	17.11	11.91	5.01	0.59	1.81	11.08	20.21	11.34	11.11
